URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/tumorErkrankung","THO"
http://hl7.org/fhir/ValueSet/iso3166-1-2,4.0.1,active,,Iso3166-1-2,Iso 3166 Part 1: 2 Letter Codes,"This value set defines the ISO 3166 Part 1 2-letter codes","StructureDefinition/TumorPatient","hl7.terminology.r4"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/HistoGradeVS,0.1.0,draft,,HistoGradeVS,HistoGradeVS,"HistoGradeVS","StructureDefinition/tnm-distant-metastases-category,StructureDefinition/grading","Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/Lymphgefaessinvasion-vs,0.1.0,draft,,LymphgefaessinvasionVS,Lymphgefäßinvasion ValueSet,"LymphgefäßinvasionVS","StructureDefinition/TNMLKategorie","Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/ResidualstatusGesamtbeurteilungVS,0.1.0,draft,,ResidualstatusGesamtbeurteilungVS,Gesamtbeurteilung des Residualstatus,"Value Set für oBDS-Codes für die Gesamtbeurteilung des Residualstatus",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/SerumTumorMarkerUICCVS,0.1.0,draft,,SerumTumorMarkerUICCVS,SerumTumorMarkerUICCVS,"SerumTumorMarkerUICCVS","StructureDefinition/TNMSKategorie","Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/befundstatust-vs,0.1.0,draft,,BefundstatusVS,Befundstatus ValueSet,"ValueSet für die CT/MRT Befund mit den Antwortoptionen: auffällig, unauffällig, liegt nicht vor, unbekannt.","StructureDefinition/ct-mrt-abdomen,StructureDefinition/skelettszintigraphie,StructureDefinition/pet-ct,StructureDefinition/ct-mrt-schaedel,StructureDefinition/lungenfunktionstest","Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-stage-group-vs,0.1.0,draft,,CancerStageVS,Cancer Stage Group Value Set,"The result of cancer staging, i.e., the stage or category of the cancer.","StructureDefinition/cancer-stage-group","SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-staging-method-vs,0.1.0,draft,,CancerStagingMethodVS,Cancer Staging Method Value Set,"System or method used for staging cancers. The terms in this value set describe staging systems, not specific stages or descriptors used within those systems.","StructureDefinition/cancer-stage-group","SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-staging-type-vs,0.1.0,draft,,CancerStagingTypeVS,Cancer Staging Type Value Set,"Identifying codes for the type of cancer staging performed. In terms of the SNOMED CT hierarchy, these codes represent observables.","StructureDefinition/cancer-stage-group","SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/ecog-performance-status,0.1.0,draft,,ECOGPerformanceStatusVS,ECOG,"ECOG Performance Status (Level 0-5).","StructureDefinition/ecog","LOINC"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/externe-bilder-vs,0.1.0,draft,,ExterneBilderVS,Externe Bilder ValueSet,"ValueSet für externe Bilder mit den Antwortoptionen: sind eingelesen, werden elektronisch übermittelt, werden per Post gesendet.","StructureDefinition/externe-bilder","Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/gewuenschte-teilnehmer-vs,0.1.0,draft,,GewuenschteTeilnehmerVS,Gewünschte Teilnehmer ValueSet,"ValueSet mit den Antwortoptionen für gewünschte Teilnehmer in einem medizinischen Kontext.","StructureDefinition/gewuenschte-teilnehmer","Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/histologische-typisierung-vs,0.1.0,draft,,HistologischeTypisierungVS,Histologische Typisierung ValueSet,"ValueSet für die histologische Typisierung mit den Antwortoptionen: Unbekannt, SCLC, NSCLC, Sonstige.","StructureDefinition/histologische-typisierung-lunge","SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/icd-o-3-morphologie,0.1.0,draft,,ICDO3Morphologie,Morphologie Codes des ICD-O-3 CodeSystems.,"",,"THO"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/ja-nein-beratung-vs,0.1.0,draft,,JaNeinBeratungVS,Ja, Nein, Beratung schon erfolgt ValueSet,"Ein ValueSet mit den Codes für Ja, Nein und Beratung schon erfolgt.","StructureDefinition/FertilitaetsBehandlungEmpfohlen","SCT,Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/ja-nein-unbekannt-vs,0.1.0,draft,,JaNeinUnbekanntVS,Expanded Yes/No Indicator ValueSet,"Ein ValueSet, das die Konzepte Yes, No und Unknown aus dem ExpandedYesNoIndicator CodeSystem enthält","StructureDefinition/tumor-board-anmeldung","SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/krebsstadium-vs,0.1.0,draft,,KrebsstadiumVS,Krebsstadium ValueSet,"KrebsstadiumVS","StructureDefinition/tnm-stage-group","Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/multiple-primaer-tumoren-vs,0.1.0,draft,,MultiplePrimaerTumorenVS,Multiple PrimärTumoren ValueSet,"MultiplePrimärTumorenVS","StructureDefinition/TNMmSymbol","Internal"
