URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/HistoGradeVS,0.1.0,draft,,HistoGradeVS,HistoGradeVS,"HistoGradeVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/Lymphgefaessinvasion-vs,0.1.0,draft,,LymphgefaessinvasionVS,Lymphgefäßinvasion ValueSet,"LymphgefäßinvasionVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/ResidualstatusGesamtbeurteilungVS,0.1.0,draft,,ResidualstatusGesamtbeurteilungVS,Gesamtbeurteilung des Residualstatus,"Value Set für oBDS-Codes für die Gesamtbeurteilung des Residualstatus",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/SerumTumorMarkerUICCVS,0.1.0,draft,,SerumTumorMarkerUICCVS,SerumTumorMarkerUICCVS,"SerumTumorMarkerUICCVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-stage-group-vs,0.1.0,draft,,CancerStageVS,Cancer Stage Group Value Set,"The result of cancer staging, i.e., the stage or category of the cancer.",,"SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-staging-method-vs,0.1.0,draft,,CancerStagingMethodVS,Cancer Staging Method Value Set,"System or method used for staging cancers. The terms in this value set describe staging systems, not specific stages or descriptors used within those systems.",,"SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/cancer-staging-type-vs,0.1.0,draft,,CancerStagingTypeVS,Cancer Staging Type Value Set,"Identifying codes for the type of cancer staging performed. In terms of the SNOMED CT hierarchy, these codes represent observables.",,"SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/icd-o-3-morphologie,0.1.0,draft,,ICDO3Morphologie,Morphologie Codes des ICD-O-3 CodeSystems.,"",,"THO"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/krebsstadium-vs,0.1.0,draft,,KrebsstadiumVS,Krebsstadium ValueSet,"KrebsstadiumVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/multiple-primaer-tumoren-vs,0.1.0,draft,,MultiplePrimaerTumorenVS,Multiple PrimärTumoren ValueSet,"MultiplePrimärTumorenVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/obds-op-komplikation-vs,0.1.0,draft,,ObdsOpKomplikationVS,oBDS Operation Komplikation Value Set,"Komplikation gemäß Vorgabe oBDS.",,"Internal,de.basisprofil.r4"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/obds-strahlentherapie-intention-vs,0.1.0,draft,,ObdsStrahlentherapieIntentionVS,Intention der Strahlentherapie,"Die Intention der Strahlentherapie",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/perineurale-invasion-vs,0.1.0,draft,,PerineuraleInvasionVS,Perineurale Invasion ValueSet,"PerineuraleInvasionVS",,"Internal"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-distant-metastases-category-max-vs,0.1.0,draft,,TNMDistantMetastasesCategoryMaxVS,TNM Distant Metastases Maximum Value Set,"Values for TNM distant metastases category must be selected from this value set, which includes all codes from UICC and all codes from TNMDistantMetastasesCategoryVS.",,"Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-distant-metastases-category-vs,0.1.0,draft,,TNMDistantMetastasesCategoryVS,TNM Distant Metastases Category Value Set,"Result values for M category. This value set contains SNOMED-CT equivalents of UICC codes for the M category, according to TNM staging rules.",,"SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-distant-metastases-staging-type-vs,0.1.0,draft,,TNMDistantMetastasesStagingTypeVS,TNM Distant Metastases Staging Type Value Set,"Identifying codes for the type of cancer staging performed, i.e., clinical, pathological, or other, for distant metastases (M) staging observation.",,"LOINC"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-primary-tumor-category-max-vs,0.1.0,draft,,TNMPrimaryTumorCategoryMaxVS,TNM Primary Tumor Maximum Value Set,"Values for TNM primary tumor category must be selected from this value set, which includes all codes from UICC and all codes from TNMPrimaryTumorCategoryVS.",,"Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-primary-tumor-category-vs,0.1.0,draft,,TNMPrimaryTumorCategoryVS,TNM Primary Tumor Category Value Set,"Result values for T category. This value set contains SNOMED-CT equivalents of UICC codes for the T category, according to TNM staging rules.",,"SCT"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-primary-tumor-staging-type-vs,0.1.0,draft,,TNMPrimaryTumorStagingTypeVS,TNM Primary Tumor Staging Type Value Set,"Identifying codes for the type of cancer staging performed, i.e., clinical, pathological, or other, for primary tumor (T) staging observation.",,"LOINC"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-regional-nodes-category-max-vs,0.1.0,draft,,TNMRegionalNodesCategoryMaxVS,TNM Regional Nodes Maximum Value Set,"Values for TNM regional nodes category must be selected from this value set, which includes all codes from UICC and all codes from TNMRegionalNodesCategoryVS.",,"Other"
http://idg-rlp.de/fhir/tumorkonferenzen/ValueSet/tnm-regional-nodes-category-vs,0.1.0,draft,,TNMRegionalNodesCategoryVS,TNM Regional Nodes Category Value Set,"Result values for N category. This value set contains SNOMED-CT equivalents of UICC codes for the N category, according to TNM staging rules.",,"SCT"
